contact_id,first_name,last_name,nickname,company,phone_mobile,phone_work,phone_home,default_phone
C001,Sarah,Chen,,Dyson,6045551001,,6045551002,mobile
C002,Sara,Chen,Sari,Cloudway,6045551004,6045551005,6045551006,mobile
C003,Sarah,Khan,,,6045551008,,,mobile
C004,John,Smith,Johnny,Evergreen Bank,6045551010,,6045551011,mobile
C005,Jon,Smyth,Jonny,,6045551013,6045551014,6045551015,mobile
C006,Sean,White,,Raven Security,6045551017,6045551018,,mobile
C007,Shawn,Wong,,Urban Realty,6045551020,6045551021,6045551022,mobile
C008,Robert,Mackay,Bobby,Trail Appliances,6045551024,,,mobile
C009,Roberto,Nakamura,Rob,,6045551026,6045551027,,mobile
C010,Rob,MacDonald,,Maple Legal,6045551029,,6045551030,mobile
C011,Maya,Ng,May,Harbor Dental,6045551032,,,mobile
C012,Mia,Nguyen,,Summit Medical,6045551034,6045551035,6045551036,mobile
C013,Jenny,Lee,Jen,,6045551038,,,mobile
C014,Jin,Li,,Northstar AI,6045551040,6045551041,6045551042,mobile
C015,Alicia,Ali,Ally,Brightline Health,6045551044,,,mobile
C016,Alisha,Patel,,Cedar Systems,6045551046,,,mobile
C017,Amir,Ahmadi,Miro,,6045551048,6045551049,,mobile
C018,Omar,Moradi,O,Pacific Insurance,6045551051,6045551052,,mobile
C019,Chris,King,Kit,,6045551054,,,mobile
C020,Kris,Kim,,Copper Finch,6045551056,,,mobile
C021,Theo,Chen,T,Urban Realty,6045551058,6045551059,6045551060,work
C022,Bobby,Novak,Bob,Blue River Labs,6045551062,6045551063,6045551064,work
C023,Sean,Cho,,Blue River Labs,6045551066,,,mobile
C024,Leo,Novak,Lee,Raven Security,6045551068,6045551069,,work
C025,Alicia,Miller,,,6045551071,6045551072,,mobile
C026,Tina,Miller,Tiny,Fable Foods,6045551074,,,mobile
C027,Chloe,Lee,,Acme Robotics,6045551076,6045551077,,work
C028,Paige,Robinson,,Pacific Insurance,6045551079,6045551080,6045551081,mobile
C029,Mina,Stone,Min,,6045551083,6045551084,6045551085,mobile
C030,Sean,Robinson,,Fable Foods,6045551087,6045551088,,mobile
C031,Nika,Ahmadi,,Raven Security,6045551090,,,mobile
C032,Nadia,Lewis,,Dyson,6045551092,6045551093,,mobile
C033,Tom,Lee,,Urban Realty,6045551095,6045551096,,mobile
C034,Jamal,Taylor,,Acme Robotics,6045551098,6045551099,6045551100,mobile
